45,227,C
50,239,C
50,270,C
50,180,C
51,249,C
51,249,C
51,195,C
52,195,C
52,272,C
53,250,C
53,260,C
53,205,C
53,260,C
53,305,C
54,220,C
54,240,C
54,245,C
55,275,C
55,320,C
55,210,C
56,249,C
56,240,C
56,230,C
56,210,C
58,215,C
58,230,C
59,289,C
59,285,C
60,240,C
60,300,C
61,265,C
62,270,C
62,225,C
62,325,B
64,340,B
64,314,B
65,317,B
65,361,B
65,350,B
65,330,B
65,270,B
66,331,B
67,395,B
69,337,B
70,330,B
70,310,B
70,450,B
70,325,B
70,319,B
70,355,B
71,304,B
71,410,B
71,310,B
74,259,B
74,350,B
74,450,B
75,397,B
77,390,B
80,362,B
82,495,B
82,495,B
84,509,B
84,520,B
87,440,A
90,490,A
91,570,A
92,560,A
93,465,A
93,477,A
96,480,A
100,422,A
100,495,A
100,605,A
100,703,A
101,535,A
103,599,A
104,445,A
104,515,A
104,540,A
104,430,A
106,450,A
106,710,A
106,636,A
106,636,A
107,650,A
107,555,A
107,560,A
107,425,A
107,600,A
107,560,A
108,629,A
116,558,A
118,556,A
123,730,A
123,749,A
127,780,A
135,620,A
140,600,A
148,550,A
150,825,A
152,840,A
156,865,A
